file,best_round,best_bcr,best_tp,best_tn,best_fp,best_fn,best_states,reference_states,best_state_gap,best_train_pos,best_train_neg,best_min_state_conf,best_avg_state_conf
automaton_10_2_5_0~0.txt,1,1.000000,200,200,0,0,10,10,0,151,157,0.992188,0.992188
automaton_10_2_5_0~1.txt,0,1.000000,200,200,0,0,10,10,0,150,150,0.992188,0.992188
automaton_10_2_5_0~2.txt,0,1.000000,200,200,0,0,10,10,0,150,150,0.992188,0.992188
automaton_10_2_5_0~3.txt,0,1.000000,200,200,0,0,10,10,0,150,150,0.992188,0.992188
automaton_10_2_5_0~4.txt,0,1.000000,200,200,0,0,10,10,0,150,150,0.992188,0.992188
automaton_10_2_5_0~5.txt,0,1.000000,200,200,0,0,10,10,0,150,150,0.992188,0.992188
automaton_10_2_5_0~6.txt,0,1.000000,200,200,0,0,10,10,0,150,150,0.992188,0.992188
automaton_10_2_5_0~7.txt,0,1.000000,200,200,0,0,10,10,0,150,150,0.992188,0.992188
automaton_10_2_5_0~8.txt,0,1.000000,200,200,0,0,10,10,0,150,150,0.992188,0.992188
automaton_10_2_5_0~9.txt,1,1.000000,200,200,0,0,10,10,0,150,156,0.992188,0.992188
automaton_10_2_5_1~0.txt,0,1.000000,200,200,0,0,10,10,0,150,150,0.750000,0.750000
automaton_10_2_5_1~1.txt,0,1.000000,200,200,0,0,10,10,0,150,150,0.750000,0.750000
automaton_10_2_5_1~2.txt,0,1.000000,200,200,0,0,10,10,0,150,150,0.750000,0.750000
automaton_10_2_5_1~3.txt,1,1.000000,200,200,0,0,10,10,0,151,155,0.750000,0.750000
automaton_10_2_5_1~4.txt,0,0.942500,192,185,15,8,28,10,18,150,150,0.000000,0.000000
automaton_10_2_5_1~5.txt,0,0.927500,196,175,25,4,20,10,10,150,150,0.000000,0.000000
automaton_10_2_5_1~6.txt,0,1.000000,200,200,0,0,10,10,0,150,150,0.750000,0.750000
automaton_10_2_5_1~7.txt,1,1.000000,200,200,0,0,10,10,0,150,156,0.750000,0.750000
automaton_10_2_5_1~8.txt,1,1.000000,200,200,0,0,10,10,0,150,154,0.750000,0.750000
automaton_10_2_5_1~9.txt,2,1.000000,200,200,0,0,10,10,0,151,156,0.750000,0.750000
