file,best_round,best_bcr,best_tp,best_tn,best_fp,best_fn,best_states,reference_states,best_state_gap,best_train_pos,best_train_neg,best_min_state_conf,best_avg_state_conf
automaton_10_2_5_0~0.txt,1,0.790000,143,173,27,57,16,10,6,56,55,0.500000,0.500000
automaton_10_2_5_0~1.txt,1,0.760000,141,163,37,59,21,10,11,52,55,0.000000,0.000000
automaton_10_2_5_0~2.txt,1,0.782500,152,161,39,48,19,10,9,51,55,0.000000,0.000000
automaton_10_2_5_0~3.txt,1,0.735000,133,161,39,67,19,10,9,55,57,0.000000,0.000000
automaton_10_2_5_0~4.txt,2,0.895000,158,200,0,42,12,10,2,54,58,0.996094,0.996094
automaton_10_2_5_1~0.txt,2,0.715000,136,150,50,64,19,10,9,54,57,0.000000,0.000000
automaton_10_2_5_1~1.txt,0,0.795000,159,159,41,41,16,10,6,50,50,0.000000,0.000000
automaton_10_2_5_1~2.txt,1,1.000000,200,200,0,0,10,10,0,50,55,0.750000,0.750000
automaton_10_2_5_1~3.txt,2,1.000000,200,200,0,0,10,10,0,55,56,0.750000,0.750000
automaton_10_2_5_1~4.txt,0,0.897500,192,167,33,8,13,10,3,50,50,0.000000,0.000000
automaton_10_2_5_2~0.txt,1,0.725000,135,155,45,65,16,10,6,53,55,0.000000,0.000000
automaton_10_2_5_2~1.txt,1,0.750000,140,160,40,60,18,10,8,51,54,0.500000,0.500000
automaton_10_2_5_2~2.txt,1,0.842500,174,163,37,26,17,10,7,51,52,0.000000,0.000000
automaton_10_2_5_2~3.txt,0,0.642500,123,134,66,77,21,10,11,50,50,0.000000,0.000000
automaton_10_2_5_2~4.txt,0,0.612500,105,140,60,95,21,10,11,50,50,0.000000,0.000000
automaton_10_2_5_3~0.txt,1,0.735000,142,152,48,58,19,10,9,53,53,0.000000,0.000000
automaton_10_2_5_3~1.txt,0,0.972500,200,189,11,0,9,10,1,50,50,0.000000,0.000000
automaton_10_2_5_3~2.txt,1,0.945000,198,180,20,2,10,10,0,53,56,0.000000,0.000000
automaton_10_2_5_3~3.txt,1,0.987500,200,195,5,0,9,10,1,52,54,0.750000,0.750000
automaton_10_2_5_3~4.txt,2,0.877500,174,177,23,26,11,10,1,52,56,0.000000,0.000000
automaton_10_2_5_4~0.txt,1,1.000000,200,200,0,0,10,10,0,54,55,0.750000,0.750000
automaton_10_2_5_4~1.txt,0,0.597500,93,146,54,107,24,10,14,50,50,0.000000,0.000000
automaton_10_2_5_4~2.txt,0,0.620000,88,160,40,112,23,10,13,50,50,0.000000,0.000000
automaton_10_2_5_4~3.txt,0,0.617500,78,169,31,122,17,10,7,50,50,0.000000,0.000000
automaton_10_2_5_4~4.txt,1,1.000000,200,200,0,0,10,10,0,50,56,0.992188,0.992188
automaton_10_2_5_5~0.txt,1,0.672500,112,157,43,88,18,10,8,52,55,0.000000,0.000000
automaton_10_2_5_5~1.txt,0,0.697500,126,153,47,74,22,10,12,50,50,0.000000,0.000000
automaton_10_2_5_5~2.txt,1,0.902500,182,179,21,18,12,10,2,53,53,0.000000,0.000000
automaton_10_2_5_5~3.txt,1,0.925000,184,186,14,16,15,10,5,52,58,0.000000,0.000000
automaton_10_2_5_5~4.txt,1,0.632500,86,167,33,114,23,10,13,51,52,0.000000,0.000000
automaton_10_2_5_6~0.txt,0,0.602500,118,123,77,82,24,10,14,50,50,0.000000,0.000000
automaton_10_2_5_6~1.txt,1,0.597500,97,142,58,103,21,10,11,53,56,0.000000,0.000000
automaton_10_2_5_6~2.txt,2,0.647500,97,162,38,103,19,10,9,53,57,0.000000,0.000000
automaton_10_2_5_6~3.txt,2,0.717500,135,152,48,65,15,10,5,55,57,0.000000,0.000000
automaton_10_2_5_6~4.txt,1,0.657500,128,135,65,72,20,10,10,54,57,0.000000,0.000000
automaton_10_2_5_7~0.txt,1,0.962500,190,195,5,10,14,10,4,54,54,0.500000,0.500000
automaton_10_2_5_7~1.txt,1,0.567500,113,114,86,87,23,10,13,50,51,0.000000,0.000000
automaton_10_2_5_7~2.txt,1,0.825000,155,175,25,45,17,10,7,55,53,0.000000,0.000000
automaton_10_2_5_7~3.txt,1,0.990000,200,196,4,0,10,10,0,54,53,1.000000,1.000000
automaton_10_2_5_7~4.txt,1,0.747500,152,147,53,48,17,10,7,52,54,0.000000,0.000000
automaton_10_2_5_8~0.txt,0,0.865000,175,171,29,25,15,10,5,50,50,0.000000,0.000000
automaton_10_2_5_8~1.txt,1,0.760000,144,160,40,56,17,10,7,53,56,0.000000,0.000000
automaton_10_2_5_8~2.txt,1,0.797500,166,153,47,34,18,10,8,53,55,0.000000,0.000000
automaton_10_2_5_8~3.txt,1,0.875000,170,180,20,30,16,10,6,53,55,0.000000,0.000000
automaton_10_2_5_8~4.txt,0,0.925000,178,192,8,22,12,10,2,50,50,0.000000,0.000000
automaton_10_2_5_9~0.txt,0,0.975000,192,198,2,8,9,10,1,50,50,0.500000,0.500000
automaton_10_2_5_9~1.txt,0,0.970000,188,200,0,12,10,10,0,50,50,0.750000,0.750000
automaton_10_2_5_9~2.txt,1,0.802500,169,152,48,31,15,10,5,51,54,0.000000,0.000000
automaton_10_2_5_9~3.txt,1,0.982500,194,199,1,6,9,10,1,51,54,0.000000,0.000000
automaton_10_2_5_9~4.txt,2,0.977500,193,198,2,7,8,10,2,51,55,0.500000,0.500000
automaton_5_2_2_0~0.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.999756,0.999756
automaton_5_2_2_0~1.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.999512,0.999512
automaton_5_2_2_0~2.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.996094,0.996094
automaton_5_2_2_0~3.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.999878,0.999878
automaton_5_2_2_0~4.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.984375,0.984375
automaton_5_2_2_1~0.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.996094,0.996094
automaton_5_2_2_1~1.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.992188,0.992188
automaton_5_2_2_1~2.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.984375,0.984375
automaton_5_2_2_1~3.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.996094,0.996094
automaton_5_2_2_1~4.txt,0,0.835000,74,93,7,26,5,5,0,25,25,0.937500,0.937500
automaton_5_2_2_2~0.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.999756,0.999756
automaton_5_2_2_2~1.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.998047,0.998047
automaton_5_2_2_2~2.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.999512,0.999512
automaton_5_2_2_2~3.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.999969,0.999969
automaton_5_2_2_2~4.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.998047,0.998047
automaton_5_2_2_3~0.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.999992,0.999992
automaton_5_2_2_3~1.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.999969,0.999969
automaton_5_2_2_3~2.txt,0,1.000000,100,100,0,0,5,5,0,25,25,1.000000,1.000000
automaton_5_2_2_3~3.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.998047,0.998047
automaton_5_2_2_3~4.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.999756,0.999756
automaton_5_2_2_4~0.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.999998,0.999998
automaton_5_2_2_4~1.txt,0,1.000000,100,100,0,0,5,5,0,25,25,1.000000,1.000000
automaton_5_2_2_4~2.txt,0,1.000000,100,100,0,0,5,5,0,25,25,1.000000,1.000000
automaton_5_2_2_4~3.txt,0,1.000000,100,100,0,0,5,5,0,25,25,1.000000,1.000000
automaton_5_2_2_4~4.txt,0,1.000000,100,100,0,0,5,5,0,25,25,1.000000,1.000000
automaton_5_2_2_5~0.txt,0,1.000000,100,100,0,0,5,5,0,25,25,1.000000,1.000000
automaton_5_2_2_5~1.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.999985,0.999985
automaton_5_2_2_5~2.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.999969,0.999969
automaton_5_2_2_5~3.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.999969,0.999969
automaton_5_2_2_5~4.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.999999,0.999999
automaton_5_2_2_6~0.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.999023,0.999023
automaton_5_2_2_6~1.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.984375,0.984375
automaton_5_2_2_6~2.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.996094,0.996094
automaton_5_2_2_6~3.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.992188,0.992188
automaton_5_2_2_6~4.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.984375,0.984375
automaton_5_2_2_7~0.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.500000,0.500000
automaton_5_2_2_7~1.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.500000,0.500000
automaton_5_2_2_7~2.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.500000,0.500000
automaton_5_2_2_7~3.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.500000,0.500000
automaton_5_2_2_7~4.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.500000,0.500000
