file,TP,TN,FP,FN,BCR,N,train_pos,train_neg,eval_pos,eval_neg,seconds
automaton_10_2_5_0~0.txt,170,168,32,30,0.845000,400,150,150,200,200,5.130
automaton_10_2_5_0~1.txt,200,200,0,0,1.000000,400,150,150,200,200,2.088
automaton_10_2_5_0~2.txt,200,200,0,0,1.000000,400,150,150,200,200,2.109
automaton_10_2_5_0~3.txt,200,200,0,0,1.000000,400,150,150,200,200,1.854
automaton_10_2_5_0~4.txt,200,200,0,0,1.000000,400,150,150,200,200,1.952
automaton_10_2_5_0~5.txt,200,200,0,0,1.000000,400,150,150,200,200,2.436
automaton_10_2_5_0~6.txt,200,200,0,0,1.000000,400,150,150,200,200,2.182
automaton_10_2_5_0~7.txt,200,200,0,0,1.000000,400,150,150,200,200,2.418
automaton_10_2_5_0~8.txt,200,200,0,0,1.000000,400,150,150,200,200,2.455
automaton_10_2_5_0~9.txt,167,166,34,33,0.832500,400,150,150,200,200,6.102
automaton_10_2_5_1~0.txt,200,200,0,0,1.000000,400,150,150,200,200,4.044
automaton_10_2_5_1~1.txt,200,200,0,0,1.000000,400,150,150,200,200,4.260
automaton_10_2_5_1~2.txt,200,200,0,0,1.000000,400,150,150,200,200,4.462
automaton_10_2_5_1~3.txt,173,149,51,27,0.805000,400,150,150,200,200,6.442
automaton_10_2_5_1~4.txt,194,183,17,6,0.942500,400,150,150,200,200,6.273
automaton_10_2_5_1~5.txt,186,187,13,14,0.932500,400,150,150,200,200,3.347
automaton_10_2_5_1~6.txt,200,200,0,0,1.000000,400,150,150,200,200,4.495
automaton_10_2_5_1~7.txt,189,184,16,11,0.932500,400,150,150,200,200,3.895
automaton_10_2_5_1~8.txt,179,171,29,21,0.875000,400,150,150,200,200,4.347
automaton_10_2_5_1~9.txt,133,145,55,67,0.695000,400,150,150,200,200,14.300
automaton_10_2_5_2~0.txt,200,200,0,0,1.000000,400,150,150,200,200,4.470
automaton_10_2_5_2~1.txt,169,175,25,31,0.860000,400,150,150,200,200,4.049
automaton_10_2_5_2~2.txt,200,200,0,0,1.000000,400,150,150,200,200,4.919
automaton_10_2_5_2~3.txt,190,178,22,10,0.920000,400,150,150,200,200,4.243
automaton_10_2_5_2~4.txt,199,193,7,1,0.980000,400,150,150,200,200,4.237
automaton_10_2_5_2~5.txt,197,193,7,3,0.975000,400,150,150,200,200,4.708
automaton_10_2_5_2~6.txt,200,200,0,0,1.000000,400,150,150,200,200,5.029
automaton_10_2_5_2~7.txt,200,200,0,0,1.000000,400,150,150,200,200,3.521
automaton_10_2_5_2~8.txt,200,200,0,0,1.000000,400,150,150,200,200,4.101
automaton_10_2_5_2~9.txt,200,200,0,0,1.000000,400,150,150,200,200,4.126
automaton_10_2_5_3~0.txt,148,162,38,52,0.775000,400,150,150,200,200,5.277
automaton_10_2_5_3~1.txt,200,196,4,0,0.990000,400,150,150,200,200,2.117
automaton_10_2_5_3~2.txt,200,197,3,0,0.992500,400,150,150,200,200,2.112
automaton_10_2_5_3~3.txt,188,179,21,12,0.917500,400,150,150,200,200,3.125
automaton_10_2_5_3~4.txt,191,200,0,9,0.977500,400,150,150,200,200,1.846
automaton_10_2_5_3~5.txt,200,197,3,0,0.992500,400,150,150,200,200,2.018
automaton_10_2_5_3~6.txt,197,192,8,3,0.972500,400,150,150,200,200,2.127
automaton_10_2_5_3~7.txt,200,200,0,0,1.000000,400,150,150,200,200,2.015
automaton_10_2_5_3~8.txt,200,198,2,0,0.995000,400,150,150,200,200,1.936
automaton_10_2_5_3~9.txt,197,195,5,3,0.980000,400,150,150,200,200,2.175
automaton_10_2_5_4~0.txt,200,200,0,0,1.000000,400,150,150,200,200,3.802
automaton_10_2_5_4~1.txt,144,146,54,56,0.725000,400,150,150,200,200,12.263
automaton_10_2_5_4~2.txt,200,200,0,0,1.000000,400,150,150,200,200,3.633
automaton_10_2_5_4~3.txt,200,200,0,0,1.000000,400,150,150,200,200,3.756
automaton_10_2_5_4~4.txt,200,200,0,0,1.000000,400,150,150,200,200,2.929
automaton_10_2_5_4~5.txt,200,200,0,0,1.000000,400,150,150,200,200,3.329
automaton_10_2_5_4~6.txt,200,200,0,0,1.000000,400,150,150,200,200,3.480
automaton_10_2_5_4~7.txt,200,200,0,0,1.000000,400,150,150,200,200,3.483
automaton_10_2_5_4~8.txt,200,200,0,0,1.000000,400,150,150,200,200,3.423
automaton_10_2_5_4~9.txt,200,200,0,0,1.000000,400,150,150,200,200,4.176
automaton_10_2_5_5~0.txt,200,200,0,0,1.000000,400,150,150,200,200,11.179
automaton_10_2_5_5~1.txt,194,164,36,6,0.895000,400,150,150,200,200,7.005
automaton_10_2_5_5~2.txt,186,179,21,14,0.912500,400,150,150,200,200,4.884
automaton_10_2_5_5~3.txt,200,200,0,0,1.000000,400,150,150,200,200,13.670
automaton_10_2_5_5~4.txt,185,194,6,15,0.947500,400,150,150,200,200,8.669
automaton_10_2_5_5~5.txt,190,181,19,10,0.927500,400,150,150,200,200,4.952
automaton_10_2_5_5~6.txt,200,200,0,0,1.000000,400,150,150,200,200,10.451
automaton_10_2_5_5~7.txt,168,173,27,32,0.852500,400,150,150,200,200,5.634
automaton_10_2_5_5~8.txt,186,178,22,14,0.910000,400,150,150,200,200,6.188
automaton_10_2_5_5~9.txt,200,200,0,0,1.000000,400,150,150,200,200,12.908
automaton_10_2_5_6~0.txt,200,200,0,0,1.000000,400,150,150,200,200,3.947
automaton_10_2_5_6~1.txt,200,200,0,0,1.000000,400,150,150,200,200,3.303
automaton_10_2_5_6~2.txt,193,181,19,7,0.935000,400,150,150,200,200,3.501
automaton_10_2_5_6~3.txt,200,200,0,0,1.000000,400,150,150,200,200,2.795
automaton_10_2_5_6~4.txt,161,163,37,39,0.810000,400,150,150,200,200,4.702
automaton_10_2_5_6~5.txt,195,194,6,5,0.972500,400,150,150,200,200,2.798
automaton_10_2_5_6~6.txt,200,200,0,0,1.000000,400,150,150,200,200,3.173
automaton_10_2_5_6~7.txt,200,200,0,0,1.000000,400,150,150,200,200,2.582
automaton_10_2_5_6~8.txt,172,144,56,28,0.790000,400,150,150,200,200,7.118
automaton_10_2_5_6~9.txt,200,199,1,0,0.997500,400,150,150,200,200,2.932
automaton_10_2_5_7~0.txt,198,197,3,2,0.987500,400,150,150,200,200,2.205
automaton_10_2_5_7~1.txt,186,180,20,14,0.915000,400,150,150,200,200,3.474
automaton_10_2_5_7~2.txt,200,196,4,0,0.990000,400,150,150,200,200,2.002
